_id,titulo,portada,slug,descripcion,etiqueta,clasificacion,categoria,subcategorias,labels[0],labels[1],labels[2],labels[3],labels[4],estado,createdAT,tenant,__v
6852ddc311304d6fc7c26c39,Set Colección Sweet Lite 363,920f4d0a-d520-4713-835f-d5f513c2e497.jpg,set-coleccion-sweet-lite-363,Línea exclusiva con los más altos estándares de calidad. Un producto indispensable para tu día a día.,Edición Limitada,Niñas,6852dcdc42ef544cc771d515,Personajes,etiqueta_1,etiqueta_2,etiqueta_3,etiqueta_4,etiqueta_5,false,2025-04-17T00:12:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26c42,Sudadera College Premium 686,9c724fb6-1b15-406c-b0af-72668185cb03.jpg,sudadera-college-premium-686,Material duradero y tecnología avanzada. Combina funcionalidad y estilo para acompañarte en todas tus actividades.,Nuevo,Masculino,6852dcdc42ef544cc771d506,Ropa Interior,etiqueta_1,etiqueta_2,etiqueta_3,etiqueta_4,etiqueta_5,false,2025-04-16T23:32:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26c53,Set Colección Infantil Max 885,6c14ef9d-8d40-45be-9136-2199a10988b3.jpg,set-coleccion-infantil-max-885,Material duradero y tecnología avanzada. Combina funcionalidad y estilo para acompañarte en todas tus actividades.,Nuevo,Niños,6852dcdc42ef544cc771d514,Personajes,etiqueta_1,etiqueta_2,etiqueta_3,etiqueta_4,etiqueta_5,false,2025-04-16T23:20:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26c59,Mochila Explorer Max 927,56e18003-9b68-4b26-a85e-3b1806396027.jpg,mochila-explorer-max-927,Línea exclusiva con los más altos estándares de calidad. Un producto indispensable para tu día a día.,Edición Limitada,Masculino,6852dcdc42ef544cc771d4fe,Mochilas para Portátil,etiqueta_1,etiqueta_2,etiqueta_3,etiqueta_4,etiqueta_5,true,2025-04-16T23:48:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26c61,Billetera Slim Lite 138,7567aaf7-bd4a-4316-8aab-2192aab6786e.jpg,billetera-slim-lite-138,Innovación y diseño de vanguardia. Un producto que destaca por su durabilidad y detalles cuidadosamente seleccionados.,Edición Limitada,Femenino,6852dcdc42ef544cc771d503,Bolsos de Mano,etiqueta_1,etiqueta_2,,,,true,2025-04-17T01:35:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26c66,Pantalón Cargo Max 783,b465c191-f445-41c3-8c2b-7a781815da89.jpg,pantalon-cargo-max-783,Línea exclusiva con los más altos estándares de calidad. Un producto indispensable para tu día a día.,Exclusivo,Masculino,6852dcdc42ef544cc771d506,Chaquetas,etiqueta_1,etiqueta_2,etiqueta_3,etiqueta_4,etiqueta_5,true,2025-04-17T02:57:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26c71,Maleta Viajera Premium 117,1e1e8d45-decc-40e6-8007-0cf8f423ccf9.jpg,maleta-viajera-premium-117,Innovación y diseño de vanguardia. Un producto que destaca por su durabilidad y detalles cuidadosamente seleccionados.,Oferta,Masculino,6852dcdc42ef544cc771d4fe,Mochilas Escolares,etiqueta_1,etiqueta_2,etiqueta_3,,,true,2025-04-17T01:19:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26c77,Morral Universitario 2.0 354,54d981d8-bd60-4f51-82c3-70e23af0540e.jpg,morral-universitario-2-0-354,Calidad premium y estilo contemporáneo. La combinación perfecta de practicidad y tendencia actual.,Oferta,Masculino,6852dcdc42ef544cc771d4fe,Bolsos Deportivos,etiqueta_1,etiqueta_2,etiqueta_3,,,true,2025-04-16T23:14:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26c7b,Camiseta Princess 2.0 600,ec0ee28b-e7df-482c-8d88-d6b45f5b6e82.jpg,camiseta-princess-2-0-600,Calidad premium y estilo contemporáneo. La combinación perfecta de practicidad y tendencia actual.,Edición Limitada,Niñas,6852dcdc42ef544cc771d509,Camisetas,etiqueta_1,etiqueta_2,etiqueta_3,,,false,2025-04-16T23:45:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26c89,Neceser Beauty Lite 475,6fc8eef0-bbb2-41db-bcc8-b07e2a4d2d49.jpg,neceser-beauty-lite-475,Innovación y diseño de vanguardia. Un producto que destaca por su durabilidad y detalles cuidadosamente seleccionados.,Nuevo,Femenino,6852dcdc42ef544cc771d503,Billeteras,etiqueta_1,etiqueta_2,etiqueta_3,etiqueta_4,,true,2025-04-16T23:36:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26c91,Neceser Voyage Max 435,a75c3484-f107-4cd8-8ae8-b610bbfc815b.jpg,neceser-voyage-max-435,Diseño minimalista pero funcional. Perfecto para quienes buscan simplicidad sin renunciar al estilo.,Nuevo,Masculino,6852dcdc42ef544cc771d502,Estuches,etiqueta_1,etiqueta_2,,,,false,2025-04-16T23:53:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26c94,Mochila Junior Pink Premium 318,24428121-ac49-440f-847f-c5aa4972f02a.jpg,mochila-junior-pink-premium-318,Funcionalidad excepcional con detalles prácticos. La opción ideal para quienes valoran la calidad y el diseño.,Nuevo,Niñas,6852dcdc42ef544cc771d501,Mochilas Escolares,etiqueta_1,etiqueta_2,etiqueta_3,etiqueta_4,etiqueta_5,false,2025-04-17T02:41:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26c9d,Tenis Runner Max 520,be62af65-1e96-40a5-8a8b-703daf9c459f.jpg,tenis-runner-max-520,"Fabricado con los mejores materiales, ofrece comodidad y espacio. Su diseño único refleja tu personalidad.",Oferta,Masculino,6852dcdc42ef544cc771d50a,Zapatillas Casual,etiqueta_1,etiqueta_2,etiqueta_3,etiqueta_4,,false,2025-04-17T00:18:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26cc0,Camiseta Princess Lite 102,c7b0c3e5-2beb-4a07-be21-2d6a39d88061.jpg,camiseta-princess-lite-102,Línea exclusiva con los más altos estándares de calidad. Un producto indispensable para tu día a día.,Destacado,Niñas,6852dcdc42ef544cc771d509,Pantalones,etiqueta_1,etiqueta_2,etiqueta_3,,,false,2025-04-17T02:14:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26cc8,Cargador Rápido Lite 778,7dc90ec0-9c23-417e-b4c0-ac6515e3806c.jpg,cargador-rapido-lite-778,Elaborado con tecnología de punta y materiales sostenibles. Un producto que cuida de ti y del medio ambiente.,Oferta,Masculino,6852dcdc42ef544cc771d50e,Accesorios para Celular,etiqueta_1,etiqueta_2,etiqueta_3,etiqueta_4,,true,2025-04-17T01:25:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26cd1,Zapatillas Sweet Plus 254,02b5e9ff-9bea-498b-94cf-388fa46c9b89.jpg,zapatillas-sweet-plus-254,"Diseño ergonómico y resistente, ideal para uso diario. Con compartimentos organizados para satisfacer todas tus necesidades.",Nuevo,Niñas,6852dcdc42ef544cc771d50d,Sandalias,etiqueta_1,,,,,true,2025-04-17T02:19:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26cd9,Bolso de Mano Evening 2.0 107,62f5d6c4-2a5a-4edc-8ebf-b30969e09a42.jpg,bolso-de-mano-evening-2-0-107,Línea exclusiva con los más altos estándares de calidad. Un producto indispensable para tu día a día.,Nuevo,Femenino,6852dcdc42ef544cc771d503,Billeteras,etiqueta_1,etiqueta_2,etiqueta_3,etiqueta_4,,true,2025-04-17T01:49:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26ce1,Set Colección Infantil Premium 528,02610f5a-6c15-4219-893e-b1a9c3f52eb7.jpg,set-coleccion-infantil-premium-528,"Diseño ergonómico y resistente, ideal para uso diario. Con compartimentos organizados para satisfacer todas tus necesidades.",Edición Limitada,Niños,6852dcdc42ef544cc771d514,Personajes,etiqueta_1,,,,,true,2025-04-17T01:56:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26ce6,Tenis Sport Girl Lite 928,1ca24b22-0619-4e19-bde0-b4ddea4e0e95.jpg,tenis-sport-girl-lite-928,Material duradero y tecnología avanzada. Combina funcionalidad y estilo para acompañarte en todas tus actividades.,Exclusivo,Niñas,6852dcdc42ef544cc771d50d,Zapatillas Casual,etiqueta_1,,,,,false,2025-04-17T02:54:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26ceb,Chaqueta Urban Pro 417,2deadee4-934b-4f2f-8eb6-adab48098d96.jpg,chaqueta-urban-pro-417,Funcionalidad excepcional con detalles prácticos. La opción ideal para quienes valoran la calidad y el diseño.,Oferta,Masculino,6852dcdc42ef544cc771d506,Ropa Interior,etiqueta_1,etiqueta_2,etiqueta_3,etiqueta_4,,true,2025-04-16T23:55:17.000Z,6852dbf5c4a6f8d1a81074f6,0
6852ddc311304d6fc7c26cfa,Camiseta Fun Plus 688,3f2aee99-d5cc-4300-baa9-51328451e369.jpg,camiseta-fun-plus-688,Línea exclusiva con los más altos estándares de calidad. Un producto indispensable para tu día a día.,Destacado,Niños,6852dcdc42ef544cc771d508,Sudaderas,etiqueta_1,etiqueta_2,etiqueta_3,,,true,2025-04-17T00:26:17.000Z,6852dbf5c4a6f8d1a81074f6,0
